Rank,Name,Team,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
28,Sam Thomson,Mansfield,17,"1,961",427,245,182,213,103,122,72,13,14,87,60,91,4,1,0,141,53,88,4,12,91,5,12,34,53,35,33,23,17,0,36,0,9,57,32,214,18,11,1,5,24,48,19,12,48,58,47,73,46,51,73
29,Matthew King,Mansfield,15,"1,932",485,331,154,124,130,41,77,12,2,96,81,39,4,0,0,87,22,65,23,16,114,17,9,13,19,9,75,22,20,48,29,0,9,53,25,66,2,4,15,7,3,26,10,16,85,72,65,86,57,63,61
30,Finn Radley,Tatura,17,"1,914",310,253,57,108,162,2,11,1,0,21,138,37,0,0,0,56,12,44,2,37,125,71,2,0,1,1,66,11,10,12,77,0,14,26,3,61,3,2,67,4,0,17,20,3,100,76,74,82,55,50,58
31,Kaedyn Napier,Shepparton United,18,"1,888",379,280,99,114,156,24,35,3,1,67,96,39,6,67,16,69,16,53,11,15,141,33,6,5,14,5,68,23,17,37,45,0,6,35,9,73,9,2,27,7,2,17,20,7,75,77,75,82,57,58,65
32,Enrique Goggin,Shepparton Swans,18,"1,872",400,274,126,146,118,43,54,3,5,52,107,71,14,0,0,115,49,66,17,4,114,15,3,11,20,12,66,24,12,3,49,0,4,45,20,110,7,2,28,11,4,45,22,7,37,66,63,74,43,56,59
33,Angus Hicks,Shepparton United,15,"1,849",428,264,164,171,61,103,82,12,13,99,58,88,11,3,1,111,41,70,18,2,59,7,8,35,47,21,25,23,18,2,29,0,0,52,30,155,18,5,3,3,12,61,15,16,48,66,59,77,52,64,52
34,Liam Serra,Shepparton United,18,"1,849",401,265,136,125,172,9,71,29,22,123,37,50,3,0,0,83,37,46,5,21,151,3,42,1,4,4,8,17,16,0,24,0,0,23,31,94,12,2,7,3,22,27,1,16,56,69,62,82,49,56,75
35,Harry Mahoney,Mansfield,13,"1,845",446,284,162,154,86,34,88,10,15,99,105,43,34,0,0,104,33,71,28,14,72,22,5,6,18,10,36,39,12,16,28,0,2,45,26,89,9,7,8,4,2,32,9,10,40,70,64,81,45,65,58
36,Tom Evans,Echuca,14,"1,839",442,297,145,148,98,52,60,9,8,92,74,63,0,0,0,111,54,57,14,7,91,10,14,15,23,14,59,15,13,37,24,0,10,38,16,115,10,4,4,5,8,47,8,9,52,71,64,85,53,63,64
37,Brad Whitford,Kyabram,17,"1,815",431,349,82,95,97,13,28,1,1,58,124,21,2,1,0,58,16,42,18,23,74,56,1,2,10,1,134,9,17,132,33,0,5,48,9,58,3,7,17,6,0,15,6,6,50,78,76,87,50,54,66
38,Darby Jones,Echuca,19,"1,793",249,160,89,151,89,46,27,32,15,110,46,49,0,339,78,64,21,43,1,42,47,15,39,8,15,23,19,18,21,0,35,0,3,22,17,88,3,3,16,12,5,39,5,10,68,67,60,79,52,54,47
39,Jack Murphy,Seymour,16,"1,791",411,259,152,126,113,48,54,24,10,118,56,41,10,3,1,81,24,57,23,5,108,7,16,19,19,10,38,14,13,21,32,0,5,32,19,86,9,4,5,11,7,27,7,19,70,74,68,86,46,63,61
40,Thomas Sullivan,Tatura,15,"1,790",427,216,211,236,91,95,44,4,3,37,77,80,0,3,1,130,63,67,2,22,69,17,6,24,44,27,28,25,32,1,31,0,12,66,20,153,16,5,5,3,2,58,20,3,57,68,56,80,45,62,61
41,Adam Fichera,Shepparton Swans,19,"1,785",342,274,68,103,110,17,9,1,1,39,112,49,10,0,0,66,24,42,16,13,97,42,2,2,8,7,89,20,8,53,73,0,14,27,4,97,8,6,48,6,0,21,28,1,50,78,78,81,56,29,71
42,Riley Ironside,Kyabram,21,"1,782",335,195,140,187,65,50,63,29,29,109,69,117,1,1,0,145,63,82,4,6,59,8,16,7,21,22,7,21,21,0,54,0,1,34,31,222,20,8,12,9,35,70,12,11,50,59,50,70,46,66,71
43,Christopher Welsh,Benalla,16,"1,776",465,252,213,191,99,99,75,6,2,62,45,60,1,2,0,132,54,78,7,7,92,6,4,35,36,28,42,23,26,7,27,0,8,60,30,122,7,9,4,4,2,44,14,8,66,64,58,72,45,68,69
44,Dom Gugliotti,Mooroopna,20,"1,775",392,240,152,97,106,12,17,0,0,46,106,55,5,0,0,56,20,36,8,16,90,32,1,3,3,6,97,20,17,75,56,0,6,37,5,95,3,3,44,6,1,17,37,4,0,80,77,86,53,100,67
45,Mitchell Brett,Shepparton Bears,21,"1,772",475,383,92,80,87,11,30,4,0,56,113,33,2,2,1,65,16,49,25,6,81,31,3,5,2,4,111,5,9,136,60,0,5,52,7,95,10,6,32,10,1,21,11,3,100,73,73,74,50,82,61
46,Joel Serra,Shepparton United,17,"1,764",442,216,226,216,67,121,61,5,3,85,79,65,9,2,1,139,67,72,5,3,64,5,1,32,54,35,28,17,24,0,27,0,5,54,23,122,15,2,3,6,3,53,9,7,62,64,54,75,48,58,57
47,Mitchell Wales,Echuca,18,"1,762",402,249,153,167,74,108,99,12,7,110,41,92,1,0,0,111,34,77,15,5,69,1,8,29,48,31,17,17,22,0,25,0,1,40,46,137,5,6,2,10,14,70,8,20,63,70,58,90,54,69,65
48,Ryan Hill,Euroa,17,"1,714",417,306,111,120,79,14,20,1,0,36,116,57,1,0,0,85,21,64,18,11,68,30,1,3,6,5,123,16,17,105,50,0,9,56,12,100,3,4,33,6,3,22,32,2,100,73,71,77,30,86,67
49,Zac Metcalf,Shepparton Bears,22,"1,714",263,185,78,101,132,9,14,10,6,52,110,44,1,38,16,50,16,34,0,30,102,50,12,1,7,1,46,13,24,3,99,0,6,24,11,85,10,2,78,9,8,13,23,3,62,72,72,72,29,33,59
50,David Mennen,Benalla,15,"1,706",425,314,111,146,89,45,45,3,6,54,97,34,14,0,0,91,28,63,25,15,74,22,6,12,22,11,110,16,21,88,43,0,13,60,16,74,5,8,28,1,2,23,9,8,30,66,66,66,51,58,64
51,Tom Stapleton,Seymour,14,"1,696",268,151,117,196,35,131,52,8,4,60,29,30,0,518,95,69,34,35,1,13,22,4,10,24,64,43,34,20,27,1,28,0,5,43,15,68,5,2,6,15,1,23,6,5,66,52,46,61,50,50,41
52,Jett Trotter,Euroa,17,"1,692",360,213,147,139,74,46,86,26,14,104,47,47,5,1,0,102,39,63,27,8,66,4,16,11,14,21,18,23,11,2,28,0,2,30,19,99,11,7,3,7,12,29,6,18,65,71,63,82,64,87,61
53,Daniel Meek,Shepparton Bears,20,"1,689",395,280,115,92,116,5,42,0,2,57,107,45,1,3,0,67,16,51,37,4,112,19,2,0,2,3,63,16,14,31,40,0,4,28,10,94,5,6,26,3,1,21,23,6,0,74,74,74,50,80,67
54,Bohden Learmonth,Kyabram,19,"1,662",397,226,171,121,136,38,34,1,5,89,69,42,1,0,0,88,26,62,7,15,121,18,7,5,16,17,24,12,11,0,34,0,2,26,13,96,14,7,7,4,5,32,5,13,16,78,73,85,65,63,88
55,Nathan Rachele,Shepparton Swans,18,"1,652",349,232,117,150,79,64,90,21,18,113,48,89,7,0,0,106,27,79,10,7,72,4,19,19,26,19,5,19,25,1,45,0,1,39,34,189,26,4,1,13,22,56,11,20,53,64,54,83,53,61,60
56,Lachlan Hogan,Echuca,19,"1,649",404,212,192,176,83,41,67,10,14,97,65,64,6,0,0,124,46,78,8,9,74,7,9,8,20,13,21,14,20,6,25,0,1,33,27,133,11,8,2,4,19,41,4,16,41,67,58,77,45,76,62
57,Jack Mckernan,Euroa,16,"1,644",290,191,99,91,118,35,30,5,5,62,42,37,1,295,79,44,17,27,4,16,102,18,7,7,12,16,35,15,11,2,27,0,3,27,9,55,3,3,14,5,4,25,8,8,50,72,69,80,60,71,77
58,Tanner Madigan,Shepparton Bears,22,"1,635",369,263,106,96,124,28,61,7,2,64,74,65,19,0,0,57,15,42,13,8,116,15,5,3,20,5,50,18,9,0,34,0,3,38,19,132,12,7,11,3,4,53,8,8,77,69,62,86,46,64,70
59,Aaron Hayes,Kyabram,19,"1,626",386,274,112,80,135,11,21,1,0,47,90,25,1,0,0,57,20,37,10,10,125,31,1,1,7,3,83,3,9,38,35,0,6,35,1,57,10,3,16,5,2,15,8,2,100,75,73,82,38,73,64
60,Jordan Haynes,Shepparton United,14,"1,626",361,215,146,160,89,84,67,2,4,68,59,92,2,0,0,97,40,57,4,11,78,8,2,28,39,17,26,28,19,0,34,0,3,49,26,156,15,7,6,6,14,64,14,10,33,65,60,72,55,69,73
61,Bailey Wileman,Rochester,16,"1,625",371,178,193,222,42,91,69,8,4,73,69,94,5,1,0,174,89,85,11,2,40,4,3,25,46,20,20,22,33,0,35,0,4,40,41,188,19,6,5,3,18,64,12,6,61,64,53,74,46,70,50
62,Malik Gordon,Echuca,17,"1,624",271,203,68,125,122,18,54,36,33,127,45,47,2,28,8,65,21,44,2,32,90,20,50,1,9,8,10,16,22,0,41,0,1,17,24,92,14,8,6,11,18,24,5,22,52,58,50,81,48,61,60
63,Jaron Murphy,Seymour,16,"1,619",328,228,100,99,112,23,61,30,21,100,73,35,10,0,0,60,12,48,23,13,99,24,21,3,12,8,27,19,15,17,42,0,5,32,18,98,8,7,16,9,4,27,4,10,57,71,66,84,48,87,70
64,Liam Broom,Shepparton Bears,21,"1,610",238,119,119,126,76,39,43,21,19,101,45,41,0,324,63,62,23,39,0,28,48,12,32,8,13,18,3,17,15,0,51,0,0,14,18,76,6,7,21,14,15,22,4,15,52,63,45,82,40,56,67
65,Jensen Dowling,Shepparton United,18,"1,596",187,93,94,121,32,61,27,8,5,76,26,25,0,816,167,40,16,24,1,9,23,6,7,11,25,25,16,26,22,0,30,0,0,31,11,51,0,7,7,15,7,16,2,6,61,60,53,67,59,48,25
66,William Deutsher,Echuca,20,"1,588",318,178,140,141,74,32,37,6,3,62,97,96,1,1,0,102,39,63,2,7,67,11,7,8,14,10,30,16,17,0,43,0,3,26,14,179,12,7,12,8,10,63,23,7,66,74,68,82,51,75,73
67,Lucas Rachele,Shepparton Swans,19,"1,587",309,202,107,106,106,22,28,12,10,64,87,93,3,0,0,70,22,48,6,7,99,17,12,4,9,9,43,21,19,7,52,0,6,30,16,151,13,3,26,9,14,51,28,7,54,67,62,77,57,73,60
68,Aiden Mills,Echuca,21,"1,586",312,255,57,81,108,8,18,6,3,49,96,42,11,0,0,56,11,45,12,11,97,28,8,1,6,1,71,8,14,33,93,0,10,38,5,76,5,4,72,12,0,25,17,5,66,74,72,82,44,38,63
69,Aidan Robinson,Kyabram,16,"1,581",212,154,58,103,83,22,33,33,14,97,41,52,3,244,47,43,19,24,5,34,49,19,37,2,11,9,13,22,18,3,43,0,3,11,19,83,3,1,24,12,17,32,3,8,70,64,62,71,42,68,62
70,Darby Wilson,Euroa,17,"1,577",335,169,166,170,59,65,28,4,4,50,78,86,8,0,0,113,47,66,8,11,48,11,2,16,26,23,37,29,15,2,50,0,5,43,14,190,25,5,17,0,5,53,28,4,50,73,63,83,64,71,57
71,Nathan Buchanan,Mansfield,17,"1,576",402,314,88,127,71,30,63,7,11,71,74,44,3,1,0,90,13,77,22,7,64,10,4,4,14,12,91,18,3,86,26,0,7,40,20,98,11,2,3,10,4,27,13,7,38,65,62,75,52,67,62
72,Jacob Watts,Shepparton Bears,15,"1,545",310,188,122,139,72,65,88,16,10,99,48,76,13,3,1,91,37,54,3,7,65,7,9,16,29,20,21,17,21,0,34,0,0,40,24,141,15,5,4,7,12,58,6,19,61,65,59,75,64,54,48
73,Ryan Young,Tatura,17,"1,543",171,90,81,101,25,53,32,2,3,31,30,36,2,741,205,46,13,33,4,8,17,6,1,15,24,14,16,23,9,0,34,0,4,29,16,64,3,1,15,11,0,29,7,4,40,53,32,77,25,40,56
74,Dan Tuddenham,Mooroopna,18,"1,532",345,245,100,121,70,55,81,32,22,116,43,52,4,1,1,74,21,53,12,4,66,4,8,11,27,17,26,26,26,0,25,0,3,36,30,111,13,0,6,6,21,24,7,12,58,61,53,82,62,44,69
75,Charlie Barnett,Kyabram,20,"1,519",286,208,78,133,108,5,81,25,30,113,34,42,1,11,1,79,25,54,5,34,74,6,32,0,2,3,5,15,11,0,37,0,0,17,23,110,19,3,8,7,24,15,3,19,45,60,57,69,54,60,60
76,Kevin Maroney,Benalla,16,"1,517",377,278,99,83,109,26,27,1,0,38,71,18,9,0,0,52,17,35,30,10,99,20,0,4,15,7,97,11,11,62,45,0,13,45,4,52,2,3,34,5,0,11,7,6,100,73,69,82,67,62,59
77,Joshua Dillon,Kyabram,20,"1,515",328,145,183,178,53,65,56,9,7,87,58,116,0,1,1,134,50,84,4,3,50,8,7,10,33,22,9,16,24,0,31,0,2,36,31,214,18,3,5,2,31,77,8,12,52,68,45,86,46,72,56
78,Jesse Tuohey,Echuca,19,"1,510",400,238,162,83,119,16,56,9,12,97,45,54,1,0,0,75,16,59,21,1,118,4,2,6,8,2,31,4,8,1,17,0,3,33,20,88,5,3,7,2,5,39,10,7,42,73,66,82,43,81,74
79,Jason Morgan,Kyabram,16,"1,506",247,162,85,95,122,3,7,0,1,35,136,20,1,0,0,53,23,30,1,36,86,68,0,0,2,1,53,6,9,4,36,0,8,21,4,45,3,1,28,4,0,6,14,1,0,81,79,85,43,67,66
80,Kieran Andrew,Tatura,16,"1,502",346,276,70,122,89,33,35,3,3,37,82,64,3,0,0,76,35,41,13,10,79,22,1,11,13,9,65,20,22,48,53,0,10,52,11,130,14,12,17,7,0,39,25,5,42,66,63,74,49,45,63
81,Jesse Cucinotta,Shepparton United,17,"1,499",375,277,98,103,103,39,62,2,2,75,83,51,3,0,0,72,18,54,8,3,100,13,6,7,17,15,34,17,16,6,41,0,6,49,15,120,20,4,10,3,4,32,15,12,50,65,62,72,53,51,53
82,Curtis Townrow,Echuca,18,"1,496",275,233,42,79,99,1,31,5,0,52,105,12,0,2,2,49,12,37,5,18,81,51,2,0,1,0,88,7,7,43,72,0,7,27,8,37,2,3,55,11,0,5,7,5,100,69,70,64,65,0,61
83,Andrew Henderson,Rochester,16,"1,465",267,159,108,147,90,22,34,12,13,68,69,44,0,45,11,91,42,49,2,21,69,18,22,2,12,8,28,19,15,1,30,0,2,13,22,82,4,5,19,2,19,19,6,11,48,64,62,69,50,45,71
84,Jayden Gleeson,Euroa,15,"1,452",421,275,146,117,90,50,45,1,2,47,46,42,8,0,0,84,25,59,32,4,86,4,1,15,25,10,75,8,22,44,31,0,3,53,25,83,15,2,5,9,7,28,7,5,33,69,63,79,36,60,61
85,Cooper Vick,Kyabram,21,"1,448",324,183,141,103,74,21,34,0,1,50,100,76,13,8,0,85,27,58,18,2,72,14,1,3,14,4,49,13,21,5,62,0,6,35,13,143,13,4,30,13,2,45,29,6,0,69,60,82,44,71,57
86,Zac Clohesy,Shepparton Swans,17,"1,448",243,140,103,107,97,5,6,0,1,26,121,42,2,0,0,68,32,36,5,18,79,38,0,0,3,2,60,26,25,0,71,0,9,21,1,77,7,6,44,3,0,9,33,0,0,72,69,77,67,60,57
87,Lachlan Hill,Euroa,11,"1,441",311,170,141,177,58,80,52,5,11,62,44,77,1,1,0,111,50,61,3,14,44,6,11,29,29,22,14,32,23,0,22,0,11,28,20,117,5,6,4,3,14,41,22,12,31,65,54,79,46,66,79
88,Liam Tenace,Echuca,13,"1,431",199,122,77,128,84,41,21,15,8,70,47,25,0,266,59,46,19,27,1,41,43,24,22,9,22,10,11,17,7,0,20,0,1,17,10,45,2,3,12,3,3,18,4,3,65,71,66,78,71,63,55
89,Harrison Milburn,Echuca,21,"1,428",298,169,129,118,82,16,20,0,0,45,93,75,0,0,0,94,21,73,7,4,78,12,2,1,10,5,38,18,18,1,53,0,4,29,7,152,14,7,30,0,1,49,25,3,0,78,73,85,65,63,53
90,Harry Murdoch,Tatura,16,"1,427",340,184,156,160,86,90,38,8,6,44,41,31,3,0,0,119,42,77,8,2,84,4,8,26,38,26,25,8,7,1,11,0,5,43,13,62,9,0,1,1,7,21,3,7,53,67,59,76,53,58,48
91,Fletcher White,Rochester,18,"1,401",351,252,99,93,102,20,33,1,0,37,86,35,30,0,0,62,14,48,28,14,88,18,1,2,13,5,75,6,16,36,43,0,9,52,10,82,10,4,22,7,3,22,10,5,100,71,68,80,58,60,72
92,Jayden Howes,Mansfield,15,"1,392",277,142,135,154,52,74,60,4,14,85,63,80,0,12,3,93,25,68,1,11,41,10,9,33,28,13,17,22,22,0,36,0,1,27,32,151,8,4,9,12,13,60,7,16,22,62,46,78,40,59,65
93,Adam McPhee,Rochester,18,"1,390",322,195,127,100,100,29,43,16,8,78,52,54,0,0,0,62,18,44,14,8,92,9,14,5,17,7,25,22,9,1,25,0,2,36,20,104,9,1,6,9,15,33,6,4,66,70,64,78,49,62,72
94,Max Brodie,Shepparton Bears,17,"1,384",254,183,71,83,92,7,34,0,0,46,110,40,5,0,0,56,15,41,4,12,80,38,0,0,6,1,48,9,5,6,52,0,5,23,6,66,2,5,34,11,0,19,21,5,0,74,69,87,53,71,58
95,Sean McAllister,Tatura,15,"1,384",374,204,170,93,112,38,16,1,0,16,49,31,3,0,0,72,20,52,15,3,109,11,3,10,13,15,50,10,10,17,17,0,7,37,9,81,10,2,2,1,3,21,7,4,100,77,70,85,44,79,64
96,Joeve Cooper,Shepparton Swans,17,"1,382",289,152,137,119,56,44,55,13,15,98,62,66,15,0,0,89,25,64,15,2,54,11,12,12,17,15,10,20,16,1,41,0,3,25,18,134,18,9,5,8,16,44,6,15,44,70,60,82,56,75,80
97,Sheldon Bogdan,Shepparton United,18,"1,370",326,144,182,162,60,73,47,0,4,68,54,95,1,1,0,114,67,47,8,2,58,4,6,16,36,21,13,19,34,0,20,0,4,34,25,156,9,3,5,2,14,67,14,8,0,68,53,79,47,75,62
98,Ryley Ely,Benalla,17,"1,346",334,241,93,138,85,75,57,2,3,49,43,58,2,0,0,101,34,67,10,9,76,6,5,21,26,28,29,12,15,1,26,0,1,54,22,111,12,1,6,5,10,41,7,12,40,57,52,71,54,51,55
99,Rory Huggard,Mooroopna,19,"1,337",276,202,74,46,122,1,8,0,0,24,69,23,12,0,0,22,7,15,19,12,110,29,0,0,1,0,74,10,17,31,57,0,8,17,4,47,3,6,46,1,0,11,12,2,0,80,77,86,50,100,66
100,Jacob Gleeson,Euroa,14,"1,325",316,176,140,97,85,37,44,7,6,56,42,69,14,0,0,56,16,40,11,7,78,8,8,10,20,7,26,15,17,6,25,0,6,32,19,139,14,4,2,4,12,43,14,12,53,72,64,82,59,65,62
101,Nathan Beattie,Seymour,14,"1,325",298,175,123,97,102,35,42,5,6,84,36,62,0,0,0,68,31,37,13,8,94,4,13,8,16,11,23,8,18,0,24,0,1,28,19,115,12,4,3,2,17,40,5,20,41,72,67,79,57,66,74
102,Mitchell Fleming,Shepparton Bears,21,"1,325",278,165,113,95,83,10,37,9,9,62,61,58,6,9,2,66,20,46,13,10,73,17,16,2,5,3,23,5,16,1,37,0,2,21,15,108,9,3,17,7,15,30,13,7,50,71,69,74,59,70,65
103,Lachlan Giles,Seymour,18,"1,324",218,152,66,105,61,19,18,1,1,34,104,56,0,0,0,61,22,39,5,9,52,23,0,1,11,7,43,31,6,3,70,0,2,23,5,134,12,10,39,7,1,30,25,3,50,67,66,68,50,53,63
104,Ben Woods,Mooroopna,20,"1,321",313,166,147,110,69,28,35,5,5,68,63,105,6,1,0,77,30,47,8,4,65,11,2,5,17,6,22,15,25,1,32,0,2,38,11,182,14,5,7,6,13,68,24,5,50,67,52,84,49,79,64
105,Riley Mason,Seymour,12,"1,317",219,163,56,108,101,6,26,47,32,122,22,14,1,10,3,52,18,34,0,38,63,4,62,0,4,2,3,13,7,0,20,0,1,10,22,43,5,2,10,3,11,3,0,16,59,62,57,75,58,67,100
106,Kade Anderson,Shepparton Swans,19,"1,287",328,207,121,128,60,42,48,7,6,53,71,50,2,1,0,101,29,72,8,6,54,9,1,8,19,15,32,10,8,1,32,0,2,52,15,113,14,4,8,3,2,37,11,5,53,60,54,71,42,50,63
107,Jed Woods,Mooroopna,12,"1,276",283,122,161,149,37,63,44,10,3,55,39,72,3,1,1,107,42,65,10,2,35,0,1,12,37,14,16,12,18,1,22,0,5,24,14,129,8,4,5,4,8,54,10,6,76,73,62,82,64,73,50
108,Max Gleeson,Euroa,15,"1,270",304,113,191,158,53,61,17,4,1,42,65,70,1,0,0,116,49,67,4,8,45,9,1,17,23,21,24,15,24,2,16,0,7,35,14,118,2,3,8,0,7,41,22,4,80,70,58,76,59,74,67
